,LINE_NO,UTMX,UTMY,RECORD,ELEVATION,RHO_I_1,RHO_I_2,RHO_I_3,RHO_I_4,RHO_I_5,RHO_I_6,RHO_I_7,RHO_I_8,RHO_I_9,RHO_I_10,RHO_I_11,RHO_I_12,RHO_I_13,RHO_I_14,RHO_I_15,RHO_I_16,RHO_I_17,RHO_I_18,RHO_I_19,RHO_I_20,RHO_I_21,RHO_I_22,RHO_I_23,RHO_I_24,RHO_I_25,RHO_I_26,RHO_I_27,RHO_I_28,RHO_I_29,RHO_I_30,THK_1,THK_2,THK_3,THK_4,THK_5,THK_6,THK_7,THK_8,THK_9,THK_10,THK_11,THK_12,THK_13,THK_14,THK_15,THK_16,THK_17,THK_18,THK_19,THK_20,THK_21,THK_22,THK_23,THK_24,THK_25,THK_26,THK_27,THK_28,THK_29,DOI_STANDARD,PCT_DIFF
0,21415.0,448473.8,1364419.1,29000.0,269.9,1550.7549823983306,1550.7691982636811,1550.8016607085601,1550.8572573603726,1550.941901604225,1551.0627462025207,1551.2284301302977,1551.4492481883362,1551.7374039595036,1552.1073337111568,1552.575967106169,1553.1629344579692,1553.890907614188,1554.7855673572624,1555.8751626601115,1557.1910139013646,1558.7659633441374,1560.6331301190228,1562.823774508062,1565.363699917765,1568.2693112825568,1571.5406643596732,1575.1544253972224,1579.055664939169,1583.1484972668597,1587.286685891775,1591.2719607317713,1594.8576582030894,1597.7648536286579,1597.7648536286579,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,15.158699877770964
1,21415.0,448517.3,1364449.0,29001.0,268.9,1451.6576487586187,1451.681837414979,1451.73708419046,1451.8317322710575,1451.9758755861878,1452.1817166161554,1452.4640194456008,1452.840459536461,1453.3320965203613,1453.9639563053383,1454.7655624731462,1455.7714544781054,1457.021978380236,1458.5635067670719,1460.4480792482323,1462.7348398459706,1465.4881415981042,1468.7763990031274,1472.6697366727242,1477.235348381729,1482.5326536737145,1488.6032255348591,1495.4605402328643,1503.0770696950906,1511.3679233634507,1520.171005104245,1529.2370383349248,1538.2227966916507,1546.6982837345274,1546.6982837345274,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,9.641048120716793
2,21415.0,448561.4,1364479.1,29002.0,267.9,1434.380151948813,1434.3906854356626,1434.414743006435,1434.4559549141245,1434.518712072455,1434.6083222387763,1434.731203414107,1434.8950282000756,1435.1089230619073,1435.3837161180759,1435.7321550836607,1436.1691088251798,1436.7118813146046,1437.380267628973,1438.1963410752421,1439.1849975838663,1440.373030430329,1441.7885024439963,1443.459563253122,1445.4122578572885,1447.6682258567757,1450.2401803667,1453.127373650621,1456.3100662144393,1459.7427697995727,1463.3464613045867,1467.005457899318,1470.566241556008,1473.842809442757,1473.842809442757,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,6.923176206116954
3,21415.0,448605.0,1364508.8,29003.0,266.8,1488.7912115895215,1488.777016516089,1488.7445898314436,1488.6890228303253,1488.6043823954496,1488.4835111272503,1488.3177465869487,1488.0966842666564,1487.8078894560952,1487.436564580816,1486.9652168492923,1486.373294282627,1485.6366601008588,1484.7273908403197,1483.6138669442369,1482.2597422561853,1480.6248037347154,1478.6652971238582,1476.334794305875,1473.5862636642157,1470.3739714709748,1466.6582745927371,1462.4102005609357,1457.6174311611474,1452.2923524891125,1446.483065862055,1440.279923093559,1433.8231764065545,1427.3076315904852,1427.3076315904852,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,454.897,8.39552851222571
4,21415.0,448648.8,1364538.5,29004.0,265.9,1552.236733924771,1552.213081167817,1552.1590515916444,1552.066470658991,1551.92545866901,1551.7240976941948,1551.447970323884,1551.0797759914897,1550.5988586044532,1549.9806592050836,1549.196182509307,1548.2114252034048,1546.9865407493787,1545.4755577587598,1543.6266112500862,1541.380340108957,1538.6714605028244,1535.4294921686417,1531.5804339163544,1527.050466873408,1521.7694171689695,1515.6789733684463,1508.7404824734856,1500.944885691645,1492.3257331558298,1482.97644382374,1473.0595426448508,1462.816821927329,1452.573566566847,1452.573566566847,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,454.897,12.13362172864253
5,21415.0,448691.7,1364567.5,29005.0,264.5,1466.3912858220638,1466.3765327238593,1466.3428324135596,1466.2850864224977,1466.197132373747,1466.071533990177,1465.8992918905965,1465.669605512931,1465.3695791856621,1464.9838763235596,1464.4943799886973,1463.8798326127062,1463.115310604062,1462.1720383138265,1461.017519156691,1459.6145208165783,1457.9220400987492,1455.8957366910747,1453.4889632488773,1450.6550705372688,1447.3495839446882,1443.5353910115061,1439.1877315239817,1434.3006185502422,1428.8953168473024,1423.0316255550727,1416.8142440101751,1410.399741951796,1403.9995901049676,1403.9995901049676,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,454.897,6.937413200838481
6,21415.0,448735.4,1364597.0,29006.0,263.6,1358.389820593489,1358.4291721696225,1358.519072885829,1358.6731433845264,1358.9078585973493,1359.2431275347578,1359.7030968279441,1360.3168201565093,1361.1190881003665,1362.1514360121635,1363.4631826089842,1365.1125651957773,1367.168387828486,1369.710873696504,1372.8317872403857,1376.6378119091642,1381.2487945717123,1386.797631859124,1393.4287575574258,1401.2932783038223,1410.5444596291334,1421.324508857556,1433.750955165157,1447.8973536687126,1463.765362774192,1481.2444112459784,1500.0806531748694,1519.8393697994852,1539.8759598657173,1539.8759598657173,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,9.673439884955744
7,21415.0,448780.1,1364627.4,29007.0,262.3,1360.183919040511,1360.1621002479817,1360.1122592824304,1360.0268648589554,1359.8968186422892,1359.7111400700337,1359.4565578971728,1359.1171955089299,1358.6741627665986,1358.1050695178399,1357.3835867309217,1356.4790209871965,1355.3556741280306,1353.9727520530257,1352.284814862736,1350.2406490956894,1347.785161973411,1344.8606185928325,1341.4089283786448,1337.3758856303202,1332.71537775873,1327.3978485774555,1321.4182924027502,1314.805752893554,1307.6347649431548,1300.0387593279397,1292.214390179741,1284.4237409465266,1276.9874047721553,1276.9874047721553,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,454.897,6.659107785175456
8,21415.0,448825.2,1364657.9,29008.0,261.1,1403.6838193462156,1403.6904584746326,1403.7056162765948,1403.7315630162568,1403.7710472619478,1403.82739854196,1403.9046141327317,1404.007400979295,1404.1412800177302,1404.3127151792453,1404.5291610725092,1404.7990540267513,1405.131847173747,1405.5378116231002,1406.027572366956,1406.611975894081,1407.300898620377,1408.1020647801217,1409.0192717976824,1410.0498545097137,1411.1818156946683,1412.3897422814289,1413.6308707998041,1414.8412894063142,1415.9328637542776,1416.792658815315,1417.28828448526,1417.2793862988326,1416.6387985930535,1416.6387985930535,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,9.97187315278445
9,21415.0,448868.7,1364686.8,29009.0,259.8,1201.2758760687852,1201.5345448748217,1202.1257833165598,1203.139674725286,1204.6856063120056,1206.896589891856,1209.9350962631356,1213.9981708788855,1219.3242336251587,1226.2018803518995,1234.9796612639916,1246.0776965320044,1260.0047983254196,1277.3729069385208,1298.909841327115,1325.4991399444632,1358.1907108531327,1398.2300107298727,1447.0855257391236,1506.4608251901655,1578.3154238877435,1664.8213834689125,1768.3038201989295,1891.107226843609,2035.3275279573913,2202.323095484557,2392.1513085297515,2602.758972696911,2829.072905229853,2829.072905229853,4.0,4.362,4.756,5.186,5.654,6.165,6.723,7.33,7.993,8.715,9.503,10.36,11.3,12.32,13.43,14.65,15.97,17.42,18.99,20.71,22.58,24.62,26.84,29.27,31.92,34.8,37.95,41.38,45.12,-0.0,15.604358316615158
